date,kt 위즈,NC 다이노스,히어로즈,SK 와이번스,쌍방울 레이더스,빙그레-한화,삼-청-태-현,MBC-LG,해태-KIA,삼성 라이온즈,롯데 자이언츠,OB-두산
1982-03-27,0,0,0,0,0,0,0,0,0,1,0,0
1982-03-28,0,0,0,0,0,0,0,1,1,2,0,0
1982-03-31,0,0,0,0,0,0,1,2,1,2,0,1
1982-04-04,0,0,0,0,0,0,2,2,1,2,0,2
1982-04-05,0,0,0,0,0,0,2,3,2,2,1,2
1982-04-07,0,0,0,0,0,0,3,3,2,2,1,3
1982-04-08,0,0,0,0,0,0,4,3,2,2,2,4
1982-04-10,0,0,0,0,0,0,5,3,3,3,2,4
1982-04-11,0,0,0,0,0,0,6,3,4,3,3,4
1982-04-14,0,0,0,0,0,0,7,3,4,4,3,4
1982-04-15,0,0,0,0,0,0,8,4,4,5,3,4
1982-04-17,0,0,0,0,0,0,8,5,5,5,3,5
1982-04-18,0,0,0,0,0,0,8,6,6,5,3,5
1982-04-21,0,0,0,0,0,0,8,7,6,5,4,5
1982-04-24,0,0,0,0,0,0,9,8,7,5,4,5
1982-04-25,0,0,0,0,0,0,10,8,8,5,5,5
1982-05-01,0,0,0,0,0,0,11,8,8,5,5,5
1982-05-02,0,0,0,0,0,0,11,9,8,6,6,5
1982-05-05,0,0,0,0,0,0,11,9,8,6,7,6
1982-05-08,0,0,0,0,0,0,12,10,8,6,8,6
1982-05-09,0,0,0,0,0,0,13,10,9,6,9,6
1982-05-12,0,0,0,0,0,0,14,10,9,7,9,6
1982-05-15,0,0,0,0,0,0,15,10,9,8,10,6
1982-05-16,0,0,0,0,0,0,16,10,10,8,11,6
1982-05-19,0,0,0,0,0,0,16,10,11,8,12,6
1982-05-20,0,0,0,0,0,0,16,10,12,9,12,7
1982-05-22,0,0,0,0,0,0,17,10,13,10,12,7
1982-05-23,0,0,0,0,0,0,17,10,14,11,13,7
1982-05-26,0,0,0,0,0,0,18,11,14,11,14,7
1982-05-29,0,0,0,0,0,0,19,12,14,11,15,7
1982-05-30,0,0,0,0,0,0,20,13,14,11,16,7
1982-06-02,0,0,0,0,0,0,21,13,14,12,17,7
1982-06-03,0,0,0,0,0,0,21,14,14,12,18,7
1982-06-05,0,0,0,0,0,0,21,15,15,12,19,7
1982-06-06,0,0,0,0,0,0,21,16,16,12,20,7
1982-06-08,0,0,0,0,0,0,21,16,17,12,20,7
1982-06-10,0,0,0,0,0,0,21,16,17,12,21,7
1982-06-12,0,0,0,0,0,0,22,17,17,12,22,7
1982-06-13,0,0,0,0,0,0,22,17,18,12,22,8
1982-06-16,0,0,0,0,0,0,23,17,18,12,22,8
1982-06-19,0,0,0,0,0,0,23,18,19,12,22,8
1982-06-20,0,0,0,0,0,0,25,18,19,12,23,8
1982-06-22,0,0,0,0,0,0,25,18,19,13,24,8
