date,kt 위즈,NC 다이노스,히어로즈,SK 와이번스,쌍방울 레이더스,빙그레-한화,삼-청-태-현,MBC-LG,해태-KIA,삼성 라이온즈,롯데 자이언츠,OB-두산
1982-03-27,0,0,0,0,0,0,0,1,0,0,0,0
1982-03-28,0,0,0,0,0,0,1,1,0,0,1,1
1982-03-31,0,0,0,0,0,0,1,1,1,1,2,1
1982-04-04,0,0,0,0,0,0,1,2,1,1,3,1
1982-04-05,0,0,0,0,0,0,2,2,1,2,3,2
1982-04-07,0,0,0,0,0,0,2,3,1,3,3,2
1982-04-08,0,0,0,0,0,0,2,4,2,4,3,2
1982-04-10,0,0,0,0,0,0,2,5,2,4,4,3
1982-04-11,0,0,0,0,0,0,2,6,2,5,4,4
1982-04-14,0,0,0,0,0,0,2,6,3,5,4,5
1982-04-15,0,0,0,0,0,0,2,6,4,5,5,6
1982-04-17,0,0,0,0,0,0,3,6,4,6,6,6
1982-04-18,0,0,0,0,0,0,3,6,4,7,6,7
1982-04-21,0,0,0,0,0,0,3,6,5,8,6,7
1982-04-24,0,0,0,0,0,0,3,6,5,9,7,8
1982-04-25,0,0,0,0,0,0,3,7,5,10,7,9
1982-05-01,0,0,0,0,0,0,3,7,6,10,7,9
1982-05-02,0,0,0,0,0,0,4,7,7,10,7,10
1982-05-05,0,0,0,0,0,0,5,7,7,11,7,10
1982-05-08,0,0,0,0,0,0,5,7,8,12,7,11
1982-05-09,0,0,0,0,0,0,5,8,8,13,7,12
1982-05-12,0,0,0,0,0,0,5,9,8,13,8,12
1982-05-15,0,0,0,0,0,0,5,10,9,13,8,13
1982-05-16,0,0,0,0,0,0,5,11,9,14,8,14
1982-05-19,0,0,0,0,0,0,5,11,9,15,8,15
1982-05-20,0,0,0,0,0,0,6,12,9,15,9,15
1982-05-22,0,0,0,0,0,0,6,13,9,15,10,16
1982-05-23,0,0,0,0,0,0,7,14,9,15,10,17
1982-05-26,0,0,0,0,0,0,7,14,10,16,10,18
