Country,Date,Num
Australia,1997,16
Australia,1998,16
Australia,1999,22
Australia,2000,22
Australia,2001,23
Australia,2002,25
Australia,2003,25
Australia,2004,25
Australia,2005,24.7
Australia,2006,24.7
Australia,2007,24.7
Australia,2008,26.7
Australia,2009,26.7
Australia,2010,24.7
Australia,2011,24.7
Australia,2012,24.7
Australia,2013,26
Australia,2014,26
Australia,2015,26.7
Austria,1997,27
Austria,1998,26
Austria,1999,26
Austria,2000,27
Austria,2001,27
Austria,2002,27
Austria,2003,34
Austria,2004,34
Austria,2005,33.9
Austria,2006,32.2
Austria,2007,32.2
Austria,2008,32.2
Austria,2009,27.9
Austria,2010,27.9
Austria,2011,27.9
Austria,2012,27.9
Austria,2013,33.3
Austria,2014,32.2
Austria,2015,30.6
Belgium,1997,12
Belgium,1998,13
Belgium,1999,13
Belgium,2000,23
Belgium,2001,23
Belgium,2002,23
Belgium,2003,23
Belgium,2004,35
Belgium,2005,34.7
Belgium,2006,34.7
Belgium,2007,34.7
Belgium,2008,35.3
Belgium,2009,35.3
Belgium,2010,39.3
Belgium,2011,39.3
Belgium,2012,38
Belgium,2013,38
Belgium,2014,39.3
Belgium,2015,39.3
Canada,1997,18
Canada,1998,21
Canada,1999,21
Canada,2000,21
Canada,2001,21
Canada,2002,21
Canada,2003,21
Canada,2004,21
Canada,2005,21.1
Canada,2006,20.8
Canada,2007,20.8
Canada,2008,21.3
Canada,2009,22.1
Canada,2010,22.1
Canada,2011,24.7
Canada,2012,24.7
Canada,2013,24.7
Canada,2014,25.1
Canada,2015,26
Chile,1997,8
Chile,1998,8
Chile,1999,11
Chile,2000,11
Chile,2001,11
Chile,2002,13
Chile,2003,13
Chile,2004,13
Chile,2005,12.5
Chile,2006,15
Chile,2007,15
Chile,2008,15
Chile,2009,15
Chile,2010,14.2
Chile,2011,14.2
Chile,2012,14.2
Chile,2013,15.8
Chile,2014,15.8
Chile,2015,15.8
Czech Republic,1997,15
Czech Republic,1998,15
Czech Republic,1999,15
Czech Republic,2000,15
Czech Republic,2001,15
Czech Republic,2002,15
Czech Republic,2003,17
Czech Republic,2004,17
Czech Republic,2005,17
Czech Republic,2006,15.5
Czech Republic,2007,15.5
Czech Republic,2008,15.5
Czech Republic,2009,15.5
