name,year,war
박정진,2014,0.7
박정진,2015,2.81
박정진,2016,0.63
윤길현,2014,1.62
윤길현,2015,2.31
윤길현,2016,0.1
윤지웅,2014,0.68
윤지웅,2015,1.78
윤지웅,2016,-0.17
진해수,2014,0.14
진해수,2015,0.2
진해수,2016,0.73
김진성,2014,1.41
김진성,2015,0.87
김진성,2016,1.52
권혁,2014,1.18
권혁,2015,0.87
권혁,2016,2.79
심동섭,2014,0.9
심동섭,2015,0.54
심동섭,2016,-0.24
전유수,2014,1.55
전유수,2015,1.5
전유수,2016,0.22
윤명준,2014,1.08
윤명준,2015,1.28
윤명준,2016,1.21
심창민,2014,0.09
심창민,2015,1.17
심창민,2016,2.79
손승락,2014,2.17
손승락,2015,0.92
손승락,2016,1.42
박근홍,2014,0.54
박근홍,2015,1.03
박근홍,2016,-0.27
이명우,2014,0.63
이명우,2015,0.06
이명우,2016,-0.95
임창민,2014,1.25
임창민,2015,1.64
임창민,2016,3.25
이동현,2014,2.3
이동현,2015,1.04
이동현,2016,0.45
이현승,2014,1.15
이현승,2015,2.21
이현승,2016,0.24
이민호,2014,1.04
이민호,2015,0.57
이민호,2016,1.03
송창식,2014,-0.07
송창식,2015,-0.56
송창식,2016,1.21
최영필,2014,1.68
최영필,2015,1.84
최영필,2016,1.51
신재웅,2014,1.47
신재웅,2015,0.79
신재웅,2016,0.12
김세현,2014,0.22
김세현,2015,1.74
김세현,2016,2.99
임정우,2014,1.74
임정우,2015,1.46
임정우,2016,2.06
김대우,2014,0.96
김대우,2015,0.85
김대우,2016,0.83
마정길,2014,1.05
마정길,2015,0.44
마정길,2016,1.16
임창용,2014,0.65
임창용,2015,2.08
임창용,2016,0.85
홍성용,2014,0.21
홍성용,2015,1.04
홍성용,2016,0.29
김성배,2014,0.69
김성배,2015,-0.7
김성배,2016,0.09
유원상,2014,1.62
유원상,2015,0.16
유원상,2016,0.02
정대현,2014,1.34
정대현,2015,0.7
정대현,2016,0.24
안영명,2014,2.15
안영명,2015,0.92
안영명,2016,-0.5
오현택,2014,1.76
오현택,2015,0.5
오현택,2016,0.04
최금강,2014,0.06
최금강,2015,1.81
최금강,2016,1.34
홍성민,2014,0.4
홍성민,2015,1.91
홍성민,2016,0.56
조상우,2014,3.15
조상우,2015,3.36
조상우,2016,0
