name,year,date,pitch,whip,inning,fati
박정진,2014,03-30,8,0.0,0.2,8.0
박정진,2014,03-31,13,2.0,0.2,52.0
박정진,2014,04-01,7,1.0,0.1,28.0
박정진,2014,04-08,13,1.0,1.0,13.0
박정진,2014,04-10,10,0.0,0.2,30.0
박정진,2014,04-11,16,2.0,0.1,64.0
박정진,2014,04-15,12,1.0,0.2,18.0
박정진,2014,04-19,23,3.0,0.2,34.5
박정진,2014,04-22,18,1.0,1.0,36.0
박정진,2014,04-24,18,2.0,1.0,54.0
박정진,2014,05-07,31,3.0,2.0,31.0
박정진,2014,05-09,2,0.0,0.1,6.0
박정진,2014,05-11,10,1.0,0.2,30.0
박정진,2014,05-15,20,3.0,0.2,30.0
박정진,2014,05-16,13,0.0,1.0,52.0
박정진,2014,05-17,12,2.0,0.2,48.0
박정진,2014,05-21,7,0.0,0.2,10.5
박정진,2014,05-24,6,2.0,0.0,12.0
박정진,2014,05-25,2,0.0,0.2,8.0
박정진,2014,05-30,20,3.0,1.2,20.0
박정진,2014,06-01,12,2.0,1.0,36.0
박정진,2014,06-06,3,0.0,0.1,3.0
박정진,2014,06-08,22,4.0,0.1,66.0
박정진,2014,06-10,15,3.0,0.1,45.0
박정진,2014,06-12,14,2.0,0.2,42.0
박정진,2014,06-15,13,0.0,1.0,26.0
박정진,2014,06-23,23,1.0,1.2,23.0
박정진,2014,06-25,21,2.0,1.1,63.0
박정진,2014,06-27,3,0.0,0.2,9.0
박정진,2014,07-01,38,3.0,3.0,57.0
박정진,2014,07-03,5,0.0,0.1,15.0
박정진,2014,07-10,17,2.0,1.0,17.0
박정진,2014,07-11,14,0.0,1.0,56.0
박정진,2014,07-13,7,1.0,0.0,21.0
박정진,2014,07-15,8,1.0,1.0,24.0
박정진,2014,07-16,13,0.0,1.0,52.0
박정진,2014,07-22,14,3.0,0.1,14.0
박정진,2014,07-26,9,0.0,1.0,13.5
박정진,2014,07-31,23,2.0,1.0,23.0
박정진,2014,08-01,21,1.0,1.0,84.0
박정진,2014,08-06,21,1.0,1.0,21.0
