continent,country,time,gender_wage_gap,gender_wage_gap_fill,parttime_women,employment_women,employment_men,fte_women,fte_women_fill,fte_men,fte_men_fill
Oceania,Australia,1990,,,,57.4,79.2,,,,
Oceania,Australia,1991,,,,56.0,75.8,,,,
Oceania,Australia,1992,,,,55.6,74.2,,,,
Oceania,Australia,1993,,,,55.4,73.7,,,,
Oceania,Australia,1994,,,,56.9,75.1,,,,
Oceania,Australia,1995,,,,58.8,76.4,,,,
Oceania,Australia,1996,,,,59.0,76.3,,,,
Oceania,Australia,1997,,,,58.8,75.8,,,,
Oceania,Australia,1998,,,,59.4,76.2,,,,
Oceania,Australia,1999,,,,59.9,76.6,,,,
Oceania,Australia,2000,17.2,17.2,,61.3,76.9,,,,
Oceania,Australia,2001,14.3,14.3,38.8,61.7,76.4,47.9,,80.3,
Oceania,Australia,2002,15.0,15.0,39.1,62.0,76.7,48.0,,80.2,
Oceania,Australia,2003,13.0,13.0,39.4,63.0,77.1,48.7,,80.5,
Oceania,Australia,2004,14.4,14.4,38.4,63.0,77.6,49.0,,80.8,
Oceania,Australia,2005,15.8,15.8,38.7,64.6,78.5,50.2,,81.6,
Oceania,Australia,2006,16.7,16.7,38.3,65.4,78.8,51.0,,81.4,
Oceania,Australia,2007,15.4,15.4,37.7,66.1,79.5,51.8,,82.3,
Oceania,Australia,2008,11.9,11.9,37.7,66.7,79.7,52.4,,82.3,
Oceania,Australia,2009,16.4,16.4,38.2,66.3,77.8,51.6,,79.4,
Oceania,Australia,2010,14.0,14.0,38.6,66.1,78.6,51.3,,80.0,
Oceania,Australia,2011,16.0,16.0,38.4,66.7,78.7,51.8,,80.2,
Oceania,Australia,2012,13.8,13.8,38.2,66.6,78.1,51.8,,79.8,
Oceania,Australia,2013,18.0,18.0,38.1,66.4,77.6,51.7,,78.7,
Oceania,Australia,2014,,18.0,38.3,66.1,77.1,51.1,,77.7,
Europe,Austria,1994,,,,58.9,78.0,,,,
Europe,Austria,1995,,,21.6,58.9,78.6,52.9,,80.6,
Europe,Austria,1996,,,21.7,58.3,77.4,52.4,,79.6,
Europe,Austria,1997,,,21.3,58.4,77.2,52.6,,79.7,
Europe,Austria,1998,,,22.8,58.5,77.0,52.0,,79.2,
Europe,Austria,1999,,,24.4,59.4,77.5,52.1,,79.9,
Europe,Austria,2000,23.1,23.1,23.9,59.4,77.3,52.1,,79.6,
Europe,Austria,2001,22.8,22.8,25.3,59.9,76.6,51.9,,78.4,
Europe,Austria,2002,24.5,24.5,26.1,61.2,76.4,52.6,,78.1,
Europe,Austria,2003,21.1,21.1,26.7,61.6,76.4,52.7,,77.9,
Europe,Austria,2004,22.4,22.4,29.3,59.7,73.3,51.3,,80.4,
Europe,Austria,2005,22.0,22.0,30.3,61.1,73.7,51.8,,80.4,
Europe,Austria,2006,21.9,21.9,31.2,62.2,74.9,52.5,,81.5,
Europe,Austria,2007,21.6,21.6,31.4,63.5,76.3,53.3,,82.4,
Europe,Austria,2008,20.9,20.9,31.3,64.8,76.8,54.1,,82.0,
Europe,Austria,2009,19.4,19.4,32.4,65.2,75.5,53.7,,80.0,
Europe,Austria,2010,19.2,19.2,33.0,65.7,76.0,53.8,,79.8,
Europe,Austria,2011,18.6,18.6,32.8,66.1,76.2,54.0,,80.0,
Europe,Austria,2012,18.2,18.2,33.5,66.7,76.2,54.3,,79.6,
Europe,Austria,2013,18.1,18.1,33.4,66.9,76.0,54.1,,78.4,
Europe,Austria,2014,,18.1,34.9,66.9,75.2,53.5,,76.9,
Europe,Belgium,1990,,,28.8,40.8,68.1,,,,
Europe,Belgium,1991,,,30.5,43.0,68.7,,,,
Europe,Belgium,1992,,,30.4,44.6,68.4,,,,
Europe,Belgium,1993,,,30.2,44.9,67.0,,,,
Europe,Belgium,1994,,,30.0,44.8,66.5,,,,
Europe,Belgium,1995,,,29.9,45.4,66.9,38.1,,67.9,
Europe,Belgium,1996,,,30.2,45.6,66.8,37.9,,67.4,
Europe,Belgium,1997,,,30.5,46.7,67.1,38.9,,68.1,
Europe,Belgium,1998,,,31.2,47.5,67.0,39.9,,69.0,
Europe,Belgium,1999,,,36.6,50.2,67.5,41.0,,68.6,
Europe,Belgium,2000,13.6,13.6,35.5,51.5,69.5,42.0,,70.7,
Europe,Belgium,2001,13.2,13.2,33.5,51.0,68.8,41.7,,70.1,
Europe,Belgium,2002,11.6,11.6,32.9,51.4,68.3,42.6,,69.7,
