#,name,team,PA,BA,BS,ISO,SPD,wSB,WAR,year
275,강경학,한화,116,0.158,0.27,0.099,3.11,0.83,8.96,2016
176,강구성,NC,3,0,0,0,2.58,2.07,7.57,2016
165,강동관,롯데,2,0,,0,6.99,1.03,6.38,2016
209,강민국,NC,26,0.13,0.22,0.174,3.77,0.5,6.3,2016
6,강민호,롯데,460,0.323,0.72,0.226,5.07,1.41,5.92,2016
240,강승호,LG,41,0.184,0.17,0.079,3.53,1.82,5.75,2016
255,강지광,넥센,80,0.197,0.46,0.076,1.9,1.51,5.27,2016
257,강한울,KIA,322,0.272,0.33,0.064,6.62,6.17,5.22,2016
54,고메즈,SK,492,0.283,0.29,0.206,6.31,-0.29,5.2,2016
134,고영민,두산,5,0.25,1,0.25,2.55,0.88,4.96,2016
230,고영우,KIA,81,0.214,0.47,0.043,4.41,0.67,4.93,2016
52,고종욱,넥센,566,0.334,0.27,0.121,1.83,1.26,4.69,2016
15,구자욱,삼성,495,0.343,0.81,0.204,3.23,1.14,4.44,2016
109,국해성,두산,174,0.278,0.58,0.152,5.99,-1.08,4.35,2016
156,권용관,한화,49,0.25,0.17,0.091,9.13,0.13,4.26,2016
128,권정웅,삼성,1,1,,0,6.19,0.58,4.21,2016
154,권희동,NC,47,0.268,0.56,0.073,5.04,1.73,4.15,2016
47,김강민,SK,422,0.298,0.36,0.139,7.01,-1.29,4.13,2016
104,김경언,한화,217,0.264,0.61,0.126,3.71,1.25,4.1,2016
200,김기현,SK,17,0.188,0.17,0.062,4.7,-1.19,3.95,2016
126,김다원,KIA,47,0.302,0.13,0.117,5.79,1.71,3.88,2016
237,김대륙,롯데,59,0.143,0.25,0.102,6.73,1.34,3.82,2016
139,김대우,롯데,2,0,,0,1.8,1.14,3.69,2016
235,김동명,kt,41,0.135,0.21,0.243,5.33,0.45,3.68,2016
91,김동엽,SK,150,0.336,0.12,0.181,6.33,-1.1,3.68,2016
191,김동한,두산,20,0.211,0,0.052,5.37,-0.92,3.59,2016
216,김동한,롯데,96,0.261,0.38,0.057,5.12,0.31,3.34,2016
151,김만수,kt,1,0,,0,4.38,0.5,3.21,2016
40,김문호,롯데,599,0.325,0.89,0.105,2.36,-0.46,3.17,2016
28,김민성,넥센,579,0.306,0.6,0.196,4.95,0.3,3.14,2016
89,김민식,SK,170,0.257,0.55,0.104,1.96,-0.25,3.12,2016
225,김민우,KIA,47,0.195,0.42,0.025,3.72,1.53,3.12,2016
228,김민준,넥센,13,0.083,0.2,0,7.07,-2.54,3.06,2016
236,김민하,롯데,49,0.2,0.05,0.089,3.5,1.28,3.05,2016
267,김민혁,kt,31,0.103,0.25,0.035,3.13,1.31,2.86,2016
229,김사연,kt,63,0.25,0.7,0.018,2.49,1.18,2.78,2016
118,김사훈,롯데,36,0.321,0.5,0.036,4.41,1.1,2.67,2016
224,김상수,삼성,401,0.271,0.59,0.061,3.19,-0.73,2.44,2016
279,김상현,kt,246,0.225,0.42,0.171,1.4,0.8,2.32,2016
136,김상호,롯데,415,0.29,0.45,0.112,3.84,-4.66,2.22,2016
179,김선민,kt,63,0.22,0.71,0,1.31,-1.44,2.14,2016
116,김선빈,KIA,27,0.36,0.33,0.16,1.98,0.5,2.07,2016
76,김성욱,NC,348,0.265,0.47,0.202,2.99,0.1,1.99,2016
43,김성현,SK,530,0.319,0.89,0.109,4.67,-0.36,1.88,2016
286,김연훈,kt,181,0.217,0.15,0.078,5.66,1.98,1.87,2016
201,김영환,kt,12,0.167,0,0,3.82,1.02,1.85,2016
56,김용의,LG,347,0.318,0.55,0.094,5.02,0.11,1.84,2016
122,김웅빈,넥센,15,0.429,0,0.214,2.24,-1.3,1.83,2016
155,김원석,한화,9,0.25,0.2,0,2.37,-0.12,1.82,2016
190,김원섭,KIA,90,0.219,0.94,0.069,3.3,1.04,1.74,2016
213,김인태,두산,19,0.167,0.25,0.055,2.48,-0.1,1.73,2016
261,김재유,롯데,30,0.148,0.14,0,7.47,-1.9,1.72,2016
85,김재현,SK,193,0.321,0.27,0.108,9.37,1.33,1.63,2016
256,김재현,넥센,82,0.181,0.5,0.027,4.76,-1.02,1.61,2016
283,김재현,삼성,215,0.218,0.19,0.037,3.79,0.12,1.44,2016
30,김재호,두산,496,0.31,1.1,0.13,7.12,0.03,1.41,2016
5,김재환*,두산,568,0.325,0.66,0.303,4.85,-0.87,1.3,2016
249,김정혁,삼성,118,0.236,0.36,0.085,5,0.52,1.29,2016
207,김종민,kt,217,0.244,0.66,0.017,0.27,0.97,1.27,2016
203,김종호,NC,137,0.295,0.47,0.016,1.09,0.48,1.24,2016
20,김주찬,KIA,555,0.346,0.44,0.22,4.01,0.24,1.22,2016
173,김주현,한화,3,0,0,0,3.88,-0.65,1.17,2016
187,김주현,롯데,33,0.207,0.25,0.138,0.31,0.48,1.16,2016
49,김주형,KIA,387,0.281,0.62,0.218,6.81,-1.68,1.05,2016
66,김준완,NC,325,0.261,1.06,0.047,4.3,0.09,1.03,2016
80,김준태,롯데,144,0.275,0.52,0.092,4.18,-1.39,0.99,2016
174,김지성,LG,3,0,,0,2.35,-0.21,0.98,2016
111,김지수,넥센,106,0.286,0.62,0.154,4.15,0.88,0.95,2016
206,김지수,롯데,7,0,0,0,2.25,0.06,0.95,2016
194,김진곤,kt,8,0.125,0,0,5.1,-0.56,0.93,2016
280,김태군,NC,395,0.232,0.5,0.053,5.14,0.45,0.91,2016
2,김태균,한화,652,0.365,1.11,0.204,6.99,1.74,0.88,2016
114,김태완,한화,24,0.35,0.38,0.15,3.28,-0.07,0.87,2016
233,김태완,삼성,52,0.196,0.33,0.108,6.49,-0.51,0.84,2016
135,김태진,NC,2,0.5,,0,7.93,1.37,0.8,2016
132,김택형(타),넥센,1,,,,3.43,0.36,0.8,2016
33,김하성,넥센,599,0.281,0.75,0.196,9.07,1.01,0.79,2016
140,김호령,KIA,514,0.267,0.35,0.106,1.49,-2.01,0.75,2016
186,김회성,한화,58,0.2,0.53,0.067,1.96,-0.29,0.75,2016
243,나경민,롯데,66,0.232,0.44,0.036,4.09,0.39,0.75,2016
24,나성범,NC,653,0.309,0.49,0.188,2.48,0.31,0.74,2016
197,나성용,삼성,13,0.167,0.2,0,2.21,0.7,0.7,2016
78,나주환,SK,65,0.386,0.33,0.298,4.74,0.25,0.64,2016
11,나지완,KIA,486,0.308,0.94,0.263,3.16,-1.78,0.64,2016
252,남태혁,kt,48,0.205,0.17,0.068,9.99,-1.31,0.63,2016
75,노수광,KIA,238,0.309,0.44,0.097,7.07,-0.44,0.6,2016
35,대니돈,넥센,497,0.295,0.97,0.199,6.06,-3.35,0.59,2016
158,도태훈,NC,7,0.167,0,0,2.21,0.28,0.56,2016
29,로사리오,한화,532,0.321,0.37,0.272,3.07,0.01,0.56,2016
103,류지혁,두산,134,0.288,0.36,0.119,1.54,0.27,0.53,2016
39,마르테,kt,381,0.265,0.98,0.252,3.05,0.09,0.52,2016
74,맥스웰,롯데,99,0.288,0.6,0.212,4.26,-3.13,0.52,2016
79,모창민,NC,147,0.331,0.38,0.173,8.21,0.59,0.51,2016
143,문규현,롯데,368,0.272,0.74,0.07,2.04,0.64,0.47,2016
265,문상철,kt,87,0.2,0.15,0.125,0.6,-0.06,0.45,2016
77,문선재,LG,127,0.288,0.34,0.253,3.11,0.32,0.43,2016
17,민병헌,두산,579,0.325,0.53,0.17,4.82,1.58,0.42,2016
16,박건우,두산,540,0.335,0.44,0.215,7.03,-0.44,0.41,2016
13,박경수,kt,476,0.313,0.81,0.209,2.92,-2.13,0.4,2016
289,박계범,삼성,0,,,,4.12,0.98,0.39,2016
127,박광열,NC,15,0.4,0,0,3.45,0.51,0.38,2016
185,박기혁,kt,348,0.273,0.51,0.061,4.83,-2.16,0.37,2016
164,박노민,한화,2,0,0,0,7.2,-0.31,0.36,2016
82,박동원,넥센,454,0.248,0.29,0.168,3.28,1.15,0.36,2016
22,박민우,NC,515,0.343,0.79,0.085,3.99,-1.63,0.36,2016
7,박석민,NC,506,0.307,0.59,0.271,5.22,-0.31,0.35,2016
147,박성준,LG,1,0,0,0,2.61,0.23,0.35,2016
146,박세웅,NC,1,0,0,0,10.25,-0.95,0.34,2016
212,박세혁,두산,210,0.209,0.49,0.128,4.16,0.01,0.32,2016
112,박승욱,SK,103,0.276,0.32,0.149,-0.02,0.02,0.3,2016
175,박용근,kt,86,0.23,0.79,0.121,3.3,-0.55,0.3,2016
38,박용택,LG,578,0.346,0.82,0.112,5.89,-0.01,0.29,2016
214,박윤,넥센,12,0.091,0.5,0,4.47,-2.22,0.29,2016
99,박재상,SK,288,0.298,0.73,0.133,11.81,0.07,0.28,2016
184,박재욱,LG,50,0.255,0.22,0.043,3.11,-2.59,0.27,2016
97,박정권,SK,468,0.277,0.35,0.183,7.63,-0.33,0.21,2016
64,박정음,넥센,263,0.309,0.58,0.104,1.63,-0.49,0.21,2016
274,박종윤,롯데,211,0.282,0.4,0.051,2.08,0.09,0.21,2016
124,박준혁,한화,9,0.375,0.5,0.25,,0,0.2,2016
254,박찬호,KIA,46,0.167,0.33,0,4.69,0.52,0.2,2016
50,박한이,삼성,401,0.301,0.56,0.18,6.98,-0.11,0.2,2016
53,박해민,삼성,641,0.3,0.56,0.11,4.81,0.04,0.18,2016
96,박헌도,롯데,82,0.261,0.4,0.232,3.06,0.05,0.17,2016
148,박희수(타),SK,1,0,0,0,-1.1,0.02,0.12,2016
63,발디리스,삼성,190,0.266,1.82,0.195,4.31,0.02,0.11,2016
204,배병옥,kt,55,0.26,0.22,0.02,2.65,0.11,0.11,2016
115,배영섭,삼성,381,0.266,1.21,0.09,-1.52,0.05,0.1,2016
68,백상원,삼성,517,0.288,0.74,0.076,6.81,0.01,0.07,2016
273,백용환,KIA,199,0.195,0.36,0.11,6.81,0.01,0.07,2016
117,백창수,LG,21,0.333,0.33,0.278,-0.34,0.52,0.06,2016
46,브렛필,KIA,544,0.313,0.47,0.198,0.56,0.05,0.05,2016
18,서건창,넥센,646,0.325,1.19,0.116,,0.01,0.05,2016
27,서동욱,KIA,485,0.292,0.56,0.204,1.81,0.02,0.04,2016
101,서상우,LG,137,0.252,0.68,0.153,4.31,0.01,0.04,2016
227,서예일,두산,21,0.105,0.25,0,6.81,0.01,0.03,2016
181,성의준,삼성,23,0.15,0.5,0.15,2.57,0.88,0.03,2016
