code,name,term,mean
67,McReynolds,1937,3.429
67,McReynolds,1938,3.562
67,McReynolds,1939,3.532
67,McReynolds,1940,3.354
68,Brandeis,1937,-0.614
68,Brandeis,1938,-0.621
71,Sutherland,1937,1.574
72,Butler,1937,2.066
72,Butler,1938,2.375
74,Stone,1937,-0.774
74,Stone,1938,-0.707
74,Stone,1939,-0.624
74,Stone,1940,-0.216
74,Stone,1941,0.472
74,Stone,1942,0.426
74,Stone,1943,0.248
74,Stone,1944,0.572
74,Stone,1945,0.726
75,Hughes,1937,-0.371
75,Hughes,1938,-0.191
75,Hughes,1939,0.34
75,Hughes,1940,0.939
76,Roberts,1937,0.007
76,Roberts,1938,0.345
76,Roberts,1939,1.003
76,Roberts,1940,1.652
76,Roberts,1941,1.87
76,Roberts,1942,2.137
76,Roberts,1943,2.456
76,Roberts,1944,2.797
77,Cardozo,1937,-1.598
78,Black,1937,-2.904
78,Black,1938,-3.215
78,Black,1939,-3.306
78,Black,1940,-3.339
78,Black,1941,-3.273
78,Black,1942,-3.071
78,Black,1943,-2.754
78,Black,1944,-2.594
78,Black,1945,-2.19
78,Black,1946,-1.979
78,Black,1947,-1.813
78,Black,1948,-1.602
78,Black,1949,-1.55
78,Black,1950,-1.497
78,Black,1951,-1.366
78,Black,1952,-1.104
78,Black,1953,-1.48
78,Black,1954,-1.62
78,Black,1955,-1.964
78,Black,1956,-2.168
78,Black,1957,-2.232
78,Black,1958,-2.071
78,Black,1959,-2.047
78,Black,1960,-1.934
78,Black,1961,-1.836
78,Black,1962,-1.742
78,Black,1963,-1.422
78,Black,1964,-0.865
78,Black,1965,-0.533
78,Black,1966,-0.421
78,Black,1967,-0.096
78,Black,1968,0.106
78,Black,1969,0.089
78,Black,1970,-0.002
79,Reed,1937,-1.058
79,Reed,1938,-1.149
79,Reed,1939,-1.071
79,Reed,1940,-0.739
79,Reed,1941,-0.277
79,Reed,1942,0.128
79,Reed,1943,0.145
79,Reed,1944,-0.085
79,Reed,1945,0.073
79,Reed,1946,0.291
79,Reed,1947,0.536
79,Reed,1948,0.711
79,Reed,1949,1.147
79,Reed,1950,1.251
79,Reed,1951,1.309
79,Reed,1952,1.384
79,Reed,1953,1.53
79,Reed,1954,1.519
79,Reed,1955,1.079
79,Reed,1956,0.845
80,Frankfurter,1938,-1.402
80,Frankfurter,1939,-1.275
80,Frankfurter,1940,-0.735
80,Frankfurter,1941,0.082
80,Frankfurter,1942,0.404
80,Frankfurter,1943,0.595
80,Frankfurter,1944,0.501
80,Frankfurter,1945,0.648
80,Frankfurter,1946,1.038
80,Frankfurter,1947,0.947
80,Frankfurter,1948,0.631
80,Frankfurter,1949,0.342
80,Frankfurter,1950,0.231
80,Frankfurter,1951,0.113
80,Frankfurter,1952,0.072
80,Frankfurter,1953,0.373
80,Frankfurter,1954,0.326
80,Frankfurter,1955,0.633
80,Frankfurter,1956,0.798
80,Frankfurter,1957,1.058
80,Frankfurter,1958,1.391
80,Frankfurter,1959,1.687
80,Frankfurter,1960,1.763
80,Frankfurter,1961,1.768
81,Douglas,1938,-2.79
81,Douglas,1939,-3
81,Douglas,1940,-3.128
81,Douglas,1941,-3.065
81,Douglas,1942,-2.777
81,Douglas,1943,-2.453
81,Douglas,1944,-1.988
81,Douglas,1945,-1.746
81,Douglas,1946,-1.436
81,Douglas,1947,-1.532
81,Douglas,1948,-1.73
81,Douglas,1949,-1.606
81,Douglas,1950,-1.439
81,Douglas,1951,-1.622
81,Douglas,1952,-2.245
81,Douglas,1953,-2.945
81,Douglas,1954,-3.613
81,Douglas,1955,-4.152
81,Douglas,1956,-4.626
81,Douglas,1957,-5.008
81,Douglas,1958,-5.352
81,Douglas,1959,-5.616
81,Douglas,1960,-5.861
81,Douglas,1961,-6.097
81,Douglas,1962,-6.299
81,Douglas,1963,-6.488
81,Douglas,1964,-6.71
81,Douglas,1965,-6.916
81,Douglas,1966,-7.072
81,Douglas,1967,-7.215
81,Douglas,1968,-7.321
81,Douglas,1969,-7.386
81,Douglas,1970,-7.451
81,Douglas,1971,-7.52
81,Douglas,1972,-7.55
81,Douglas,1973,-7.595
81,Douglas,1974,-7.649
81,Douglas,1975,-7.66
82,Murphy,1939,-1.617
82,Murphy,1940,-1.569
82,Murphy,1941,-1.512
82,Murphy,1942,-1.639
82,Murphy,1943,-1.708
82,Murphy,1944,-1.43
82,Murphy,1945,-1.401
82,Murphy,1946,-1.781
82,Murphy,1947,-1.695
82,Murphy,1948,-1.522
83,Byrnes,1941,-0.19
84,Jackson,1941,0.216
84,Jackson,1942,0.271
84,Jackson,1943,0.14
84,Jackson,1944,0.193
84,Jackson,1945,0.624
84,Jackson,1946,1.057
84,Jackson,1947,1.204
84,Jackson,1948,1.275
84,Jackson,1949,0.828
84,Jackson,1950,0.776
84,Jackson,1951,0.717
84,Jackson,1952,0.91
84,Jackson,1953,0.859
85,Rutledge,1942,-1.113
85,Rutledge,1943,-1.153
85,Rutledge,1944,-1.381
85,Rutledge,1945,-1.2
85,Rutledge,1946,-1.445
85,Rutledge,1947,-1.764
85,Rutledge,1948,-1.852
86,Burton,1945,0.507
86,Burton,1946,0.528
86,Burton,1947,0.832
86,Burton,1948,0.959
86,Burton,1949,0.997
86,Burton,1950,1.01
86,Burton,1951,0.953
86,Burton,1952,1.284
86,Burton,1953,1.351
86,Burton,1954,1.304
86,Burton,1955,1.313
86,Burton,1956,1.262
86,Burton,1957,1.141
86,Burton,1958,1.184
87,Vinson,1946,0.412
87,Vinson,1947,0.54
87,Vinson,1948,0.889
87,Vinson,1949,1.154
87,Vinson,1950,1.302
87,Vinson,1951,1.546
87,Vinson,1952,1.482
88,Clark,1949,1.123
88,Clark,1950,1.142
88,Clark,1951,1.212
88,Clark,1952,1.179
88,Clark,1953,0.617
88,Clark,1954,0.166
88,Clark,1955,0.037
88,Clark,1956,0.218
88,Clark,1957,0.657
88,Clark,1958,0.577
88,Clark,1959,0.39
