boss,from,to,b_party,b_score,b_indiv,b_domes,b_econo,b_defen,justice,j_party,j_score,j_indiv,j_domes,j_econo,j_defen
Taft,1909,1913,Republican,,,,,,Hughes,Republican,,,,,
Wilson,1913,1921,Democratic,,,,,,McReynolds,Democratic,,,,,
Wilson,1913,1921,Democratic,,,,,,Brandeis,Democratic,,,,,
Harding,1921,1923,Republican,,,,,,Sutherland,Republican,,,,,
Harding,1921,1923,Republican,,,,,,Butler,Democratic,,,,,
Coolidge,1923,1929,Republican,,,,,,Stone,Republican,,,,,
Hoover,1929,1933,Republican,,,,,,Roberts,Republican,,,,,
Hoover,1929,1933,Republican,,,,,,Cardozo,Democratic,,,,,
Roosevelt,1937,1945,Democratic,,,,,,Black,Democratic,,,,,
Roosevelt,1937,1945,Democratic,,,,,,Reed,Democratic,,,,,
Roosevelt,1937,1945,Democratic,,,,,,Frankfurter,Independent,,,,,
Roosevelt,1937,1945,Democratic,,,,,,Douglas,Democratic,,,,,
Roosevelt,1937,1945,Democratic,,,,,,Murphy,Democratic,,,,,
Roosevelt,1937,1945,Democratic,,,,,,Byrnes,Democratic,,,,,
Roosevelt,1937,1945,Democratic,,,,,,Jackson,Democratic,,,,,
Roosevelt,1937,1945,Democratic,,,,,,Rutledge,Democratic,,,,,
Truman,1945,1953,Democratic,-1,0,-5,-2,0,Burton,Republican,,,,,
Truman,1945,1953,Democratic,-1,0,-5,-2,0,Vinson,Democratic,,,,,
Truman,1945,1953,Democratic,-1,0,-5,-2,0,Clark,Democratic,,,,,
Truman,1945,1953,Democratic,-1,0,-5,-2,0,Minton,Democratic,,,,,
Eisenhower,1953,1961,Republican,2,0,-1,6,4,Warren,Republican,,,,,
Eisenhower,1953,1961,Republican,2,0,-1,6,4,Harlan,Republican,,,,,
Eisenhower,1953,1961,Republican,2,0,-1,6,4,Brennan,Democratic,,,,,
Eisenhower,1953,1961,Republican,2,0,-1,6,4,Whittaker,Republican,,,,,
Eisenhower,1953,1961,Republican,2,0,-1,6,4,Stewart,Republican,,,,,
Kennedy,1961,1963,Democratic,-3.2,-5,-3,-6,1,White,Democratic,,,,,
Kennedy,1961,1963,Democratic,-3.2,-5,-3,-6,1,Goldberg,Democratic,,,,,
Johnson,1963,1969,Democratic,-3.5,-6,-2,-9,4,Fortas,Democratic,,,,,
Johnson,1963,1969,Democratic,-3.5,-6,-2,-9,4,Marshall,Democratic,,,,,
Nixon,1969,1974,Republican,1.8,-1,2,0,6,Burger,Republican,,,,,
Nixon,1969,1974,Republican,1.8,-1,2,0,6,Blackmun,Republican,,,,,
Nixon,1969,1974,Republican,1.8,-1,2,0,6,Powell,Democratic,,,,,
Nixon,1969,1974,Republican,1.8,-1,2,0,6,Rehnquist,Republican,3.25,5,4,2,2
Ford,1974,1977,Republican,5.5,4,5,3,5,Stevens,Republican,-4.5,-6,-7,-2,-3
Carter,1977,1981,Democratic,-6,-5,-6,-8,-3,,,,,,,
Reagan,1981,1989,Republican,5.8,5,7,2,6,O'Connor,Republican,0.25,-3,1,1,2
Reagan,1981,1989,Republican,5.8,5,7,2,6,Scalia,Republican,5.25,10,7,3,1
Reagan,1981,1989,Republican,5.8,5,7,2,6,Kennedy,Republican,1.25,0,3,2,0
Bush,1989,1993,Republican,3,0,8,2,2,Souter,Republican,-4.25,-8,-7,-2,0
Bush,1989,1993,Republican,3,0,8,2,2,Thomas,Republican,3.5,6,6,2,0
Clinton,1993,2001,Democratic,-4.8,-6,-4,-4,-2,Ginsburg,Democratic,-5.25,-9,-8,-4,0
Clinton,1993,2001,Democratic,-4.8,-6,-4,-4,-2,Breyer,Democratic,-3.25,-8,-6,0,1
Bush2,2001,2009,Republican,6.8,5,5,6,7,Roberts,Republican,4.5,7,5,1,5
Bush2,2001,2009,Republican,6.8,5,5,6,7,Alito,Republican,4.25,6,5,1,5
Obama,2009,2017,Democratic,-6,-6,-5,-9,-2,Sotomayor,Independent,-2.75,-6,-4,-1,0
Obama,2009,2017,Democratic,-6,-6,-5,-9,-2,Kagan,Democratic,-2.25,-5,-5,0,1
